raw,filtered,baseline,delta,event,coin_in,state
35845,35873,35879,-6,0,0,1
35805,35866,35879,-12,0,0,1
35845,35864,35879,-14,0,0,1
36342,35912,35879,33,0,0,1
35905,35911,35879,32,0,0,1
35845,35905,35879,25,0,0,1
35805,35895,35879,15,0,0,1
35944,35900,35879,20,0,0,1
35805,35890,35879,11,0,0,1
35905,35892,35879,12,0,0,1
35805,35883,35879,4,0,0,1
36004,35895,35879,16,0,0,1
35805,35886,35879,7,0,0,1
35984,35896,35880,16,0,0,1
36004,35907,35880,27,0,0,1
36322,35948,35881,68,0,0,1
35845,35938,35881,57,0,0,1
35805,35925,35880,44,0,0,1
35706,35903,35880,23,0,0,1
35805,35893,35880,13,0,0,1
35746,35878,35880,-1,0,0,1
35805,35871,35880,-9,0,0,1
35746,35858,35879,-21,0,0,1
35845,35857,35879,-22,0,0,1
35805,35852,35879,-27,0,0,1
35964,35863,35879,-16,0,0,1
35805,35857,35879,-22,0,0,1
36262,35898,35880,18,0,0,1
35885,35896,35880,17,0,0,1
35805,35887,35880,8,0,0,1
35845,35883,35880,3,0,0,1
35805,35875,35880,-4,0,0,1
35925,35880,35880,1,0,0,1
35865,35879,35880,-1,0,0,1
35905,35881,35880,2,0,0,1
35885,35882,35880,2,0,0,1
35925,35886,35880,6,0,0,1
35845,35882,35880,2,0,0,1
35925,35886,35880,6,0,0,1
36322,35930,35881,49,0,0,1
35845,35921,35881,41,0,0,1
35885,35918,35881,37,0,0,1
35845,35910,35880,30,0,0,1
35845,35904,35880,23,0,0,1
35885,35902,35880,22,0,0,1
35805,35892,35880,12,0,0,1
35805,35884,35880,3,0,0,1
35805,35876,35880,-4,0,0,1
35805,35869,35880,-11,0,0,1
35805,35862,35880,-17,0,0,1
35805,35857,35880,-23,0,0,1
36302,35901,35880,21,0,0,1
35885,35899,35880,19,0,0,1
35805,35890,35880,10,0,0,1
35865,35888,35880,7,0,0,1
35845,35883,35880,3,0,0,1
35706,35866,35880,-14,0,0,1
35885,35867,35880,-12,0,0,1
35746,35855,35880,-24,0,0,1
35865,35856,35880,-23,0,0,1
35746,35845,35879,-34,0,0,1
35865,35847,35879,-32,0,0,1
35746,35837,35879,-42,0,0,1
36361,35889,35880,9,0,0,1
35944,35895,35880,15,0,0,1
35845,35890,35880,10,0,0,1
35885,35889,35880,9,0,0,1
35805,35881,35880,1,0,0,1
35865,35879,35880,-1,0,0,1
35805,35872,35880,-8,0,0,1
35925,35877,35880,-3,0,0,1
35845,35874,35880,-6,0,0,1
35845,35871,35880,-9,0,0,1
35805,35865,35880,-15,0,0,1
36262,35904,35880,24,0,0,1
35845,35898,35880,18,0,0,1
35845,35893,35880,13,0,0,1
35865,35890,35880,10,0,0,1
35925,35894,35880,13,0,0,1
35805,35885,35880,5,0,0,1
35865,35883,35880,3,0,0,1
35905,35885,35880,5,0,0,1
35885,35885,35880,5,0,0,1
35885,35885,35880,5,0,0,1
35805,35877,35880,-3,0,0,1
35925,35882,35880,2,0,0,1
36342,35928,35881,47,0,0,1
35805,35916,35881,35,0,0,1
35746,35899,35881,18,0,0,1
35845,35893,35881,13,0,0,1
35805,35884,35881,4,0,0,1
35845,35880,35880,0,0,0,1
35925,35885,35881,4,0,0,1
35805,35877,35880,-3,0,0,1
35845,35874,35880,-7,0,0,1
35746,35861,35880,-19,0,0,1
35805,35855,35880,-25,0,0,1
35865,35856,35880,-24,0,0,1
36262,35897,35881,16,0,0,1
35746,35882,35880,1,0,0,1
35845,35878,35880,-2,0,0,1
36064,35897,35881,16,0,0,1
35805,35888,35881,7,0,0,1
35944,35893,35881,12,0,0,1
